date, value
2014/6/26,1311.5
2014/6/27,1315.25
2014/6/30,1313
2014/7/1,1325.75
2014/7/2,1326.75
2014/7/3,1322.5
2014/7/4,1321.5
2014/7/7,1313.25
2014/7/8,1318.25
2014/7/9,1322.5
2014/7/10,1343.25
2014/7/11,1336.5
2014/7/14,1321.25
2014/7/15,1312
2014/7/16,1297.5
2014/7/17,1302.75
2014/7/18,1310.25
2014/7/21,1312.75
2014/7/22,1307
2014/7/23,1307.5
2014/7/24,1300
2014/7/25,1292.5
2014/7/28,1305
2014/7/29,1307.5
2014/7/30,1297.5
2014/7/31,1295
2014/8/1,1284.5
2014/8/4,1293.5
2014/8/5,1292.75
2014/8/6,1288.5
2014/8/7,1302
2014/8/8,1317.5
2014/8/11,1308.25
2014/8/12,1311
2014/8/13,1309.25
2014/8/14,1315
2014/8/15,1313.6
2014/8/18,1302.75
2014/8/19,1300.25
2014/8/20,1294.5
2014/8/21,1280.5
2014/8/22,1281
2014/8/26,1286.5
2014/8/27,1285
2014/8/28,1288
2014/8/29,1285.75
2014/9/1,1287.25
2014/9/2,1277.75
2014/9/3,1268.5
2014/9/4,1271
2014/9/5,1264
2014/9/8,1267.25
2014/9/9,1256
2014/9/10,1254.25
2014/9/11,1247
2014/9/12,1237.25
2014/9/15,1234.75
2014/9/16,1238.75
2014/9/17,1236.5
2014/9/18,1223
2014/9/19,1222.5
2014/9/22,1214
2014/9/23,1225
2014/9/24,1224
2014/9/25,1210.5
2014/9/26,1222.25
2014/9/29,1217.75
2014/9/30,1210
2014/10/1,1208.5
2014/10/2,1214.5
2014/10/3,1207.5
2014/10/6,1193.25
2014/10/7,1207.5
2014/10/8,1220
2014/10/9,1227.5
2014/10/10,1222.25
2014/10/13,1228
2014/10/14,1233
2014/10/15,1223.5
2014/10/16,1241
2014/10/17,1238
2014/10/20,1241
2014/10/21,1251.75
2014/10/22,1246.75
2014/10/23,1240.5
2014/10/24,1231.75
2014/10/27,1230.5
2014/10/28,1228.25
